Station_Number,Station_Name,Latitude,Longitude,MSL_1993-2021
1,Brest,48.38285,-4.494838,100
3,Sheerness,51.445639,0.743444,163
5,Holyhead,53.313944,-4.620444,93
7,Cuxhaven 2,53.866667,8.716667,164
8,Wismar 2,53.898889,11.458056,118
9,Maassluis,51.9175,4.249722,81
10,San Francisco,37.806667,-122.465,-10
11,Warnemunde 2,54.169722,12.103333,103
12,New York (The Battery),40.7,-74.013333,121
13,Travemunde,53.958056,10.872222,94
14,Helsinki,60.153633,24.956217,-13
20,Vlissingen,51.442222,3.596111,103
22,Hoek Van Holland,51.9775,4.12,97
23,Den Helder,52.964444,4.745,83
24,Delfzijl,53.326389,6.933056,128
25,Harlingen,53.175556,5.409444,114
32,Ijmuiden,52.462222,4.554722,67
33,Oscarsborg,59.678073,10.604861,-55
41,Poti,42.166667,41.683333,197
42,Sevastopol,44.616667,33.533333,188
43,Mumbai / Bombay (Apollo Bandar),18.916667,72.833333,188
45,Kabelvag,68.212639,14.482149,-1
47,Stavanger,58.974339,5.730121,36
51,Batumi,41.633333,41.7,-194
57,Vaasa / Vasa,63.081533,21.571183,-183
58,Bergen,60.398046,5.320487,27
59,Genova,44.4,8.9,82
61,Marseille,43.278801,5.35386,78
62,Oslo,59.908559,10.73451,-65
69,OLANDS NORRA UDDE,57.366111,17.097222,37
70,KUNGSHOLMSFORT,56.105278,15.589444,67
71,HANKO / HANGO,59.822867,22.976583,-43
78,STOCKHOLM,59.324167,18.081667,-40
779,OULU / ULEABORG,65.040317,25.418233,-184
89,HIRTSHALS,57.595556,9.963889,77
91,FREDERIKSHAVN,57.436389,10.548889,69
95,NORTH SHIELDS,55.007444,-1.439778,95
98,SLIPSHAVN,55.288333,10.827778,146
111,FREMANTLE,-32.055833,115.739444,273
112,FERNANDINA BEACH,30.671667,-81.465,100
113,KORSOR,55.332222,11.142222,79
118,KLAIPEDA,55.7,21.133333,9
119,HORNBAEK,56.091111,12.458333,119
120,GEDSER,54.572778,11.925556,125
127,SEATTLE,47.601667,-122.338333,65
130,ABURATSUBO,35.160278,139.615278,151
131,AYUKAWA,38.296667,141.505278,520
132,WAJIMA,37.405833,136.900278,110
133,HOSOJIMA,32.428611,131.669444,109
137,PORT-SAINT-FRANCOIS,46.266667,-72.616667,-82
